epoch,train_loss,val_loss,iou,f1,precision,recall,accuracy,kappa,time_elapsed
1,1.8196247220039368,1.7655404806137085,0.111419677734375,0.16701345145702362,0,0,0,0.0,590.627434
1,1.7963806986808777,1.7655595541000366,0.111419677734375,0.16701345145702362,0,0,0,0.0,777.442657
1,1.7794220447540283,1.7655750513076782,0.111419677734375,0.16701345145702362,0,0,0,0.0,833.931826
2,1.765578031539917,1.7655935287475586,0.11142649501562119,0.1670278161764145,0,0,0,8.953114161158737e-08,865.939858
3,1.7532063126564026,1.7656371593475342,0.11154628545045853,0.1672695130109787,0,0,0,3.5409531847108155e-05,898.125368
4,1.741826057434082,1.7657147645950317,0.11347684264183044,0.1712527722120285,0,0,0,0.0004908498958684504,929.650972
5,1.7312371134757996,1.7658522129058838,0.11970905214548111,0.18414819240570068,0,0,0,0.0006336327642202377,961.661862
6,1.720962107181549,1.7660691738128662,0.13067112863063812,0.20596887171268463,0,0,0,0.0006864626775495708,992.997028
7,1.710971474647522,1.7663828134536743,0.1434377133846283,0.23030231893062592,0,0,0,0.00015437086403835565,1024.794704
8,1.7011274099349976,1.7668005228042603,0.1557662934064865,0.2524828612804413,0,0,0,0.0017627849010750651,1056.890686
9,1.6912845373153687,1.7673556804656982,0.1644318401813507,0.2680453956127167,0,0,0,0.0005428683361969888,1089.544585
10,1.6816099882125854,1.7680882215499878,0.17077237367630005,0.2796271741390228,0,0,0,-0.0010546782286837697,1121.968439
11,1.6720020771026611,1.768978476524353,0.17674414813518524,0.29048261046409607,0,0,0,-0.0004438494215719402,1153.84946
12,1.6625260710716248,1.7700237035751343,0.18091362714767456,0.2982436418533325,0,0,0,-0.0010834496933966875,1185.268689
13,1.6532736420631409,1.7711894512176514,0.18432146310806274,0.3046456575393677,0,0,0,-0.0016329847276210785,1217.041638
14,1.6442255973815918,1.7724941968917847,0.18767748773097992,0.3107486367225647,0,0,0,-0.0007892998983152211,1248.807123
15,1.6356109380722046,1.7739346027374268,0.18952296674251556,0.31426605582237244,0,0,0,-0.0010911721037700772,1281.114313
16,1.627422034740448,1.7755740880966187,0.19109652936458588,0.3170953691005707,0,0,0,-0.0004856887098867446,1312.516468
17,1.619766652584076,1.777497410774231,0.19089673459529877,0.3171936869621277,0,0,0,-0.0024667514953762293,1343.636032
18,1.6127620935440063,1.7796298265457153,0.19129830598831177,0.31806784868240356,0,0,0,-0.0026356240268796682,1375.085441
19,1.6065775156021118,1.7818623781204224,0.19169408082962036,0.31870317459106445,0,0,0,-0.0019589606672525406,1406.811071
20,1.601017415523529,1.7841708660125732,0.19151340425014496,0.31844833493232727,0,0,0,-0.002215938875451684,1438.201976
21,1.5962535738945007,1.7865160703659058,0.19124090671539307,0.31810784339904785,0,0,0,-0.002795303240418434,1469.478432
22,1.5923552513122559,1.7889535427093506,0.19119994342327118,0.31813016533851624,0,0,0,-0.0029107413720339537,1500.679282
23,1.5892983675003052,1.791234016418457,0.190988227725029,0.31787171959877014,0,0,0,-0.0032836012542247772,1531.566818
24,1.586936116218567,1.7933681011199951,0.19094276428222656,0.3178050220012665,0,0,0,-0.0032212005462497473,1562.724346
25,1.5853065848350525,1.795219898223877,0.1909075379371643,0.31776732206344604,0,0,0,-0.003250834299251437,1593.853736
26,1.584152102470398,1.796887755393982,0.1907951384782791,0.31759312748908997,0,0,0,-0.0033623992931097746,1625.876265
27,1.5836554765701294,1.798325538635254,0.19082874059677124,0.3176567554473877,0,0,0,-0.003270096378400922,1657.822208
28,1.583336055278778,1.799582839012146,0.1908475011587143,0.317701131105423,0,0,0,-0.0032111061736941338,1689.348542
29,1.5833612084388733,1.8006341457366943,0.19118089973926544,0.31814658641815186,0,0,0,-0.0024084383621811867,1720.825319
30,1.5832624435424805,1.8015482425689697,0.19119006395339966,0.3181784152984619,0,0,0,-0.0024188554380089045,1753.695382
