epoch,train_loss,val_loss,iou,f1,precision,recall,accuracy,kappa,time_elapsed
1,1.4709758758544922,1.4405138492584229,0.2531406581401825,0.29070577025413513,0.30682769417762756,0.33313605189323425,0.7524490356445312,0,27.287818
2,1.4499423503875732,1.4387903213500977,0.2531406581401825,0.29070577025413513,0.30682769417762756,0.33313605189323425,0.7524490356445312,0,52.754398
1,1.5443388223648071,1.454477310180664,0.0190455112606287,0.036032263189554214,0.0190455112606287,0.3333333432674408,0.05713653564453125,0,23.650488
2,1.4906204342842102,1.4559926986694336,0.0190455112606287,0.036032263189554214,0.0190455112606287,0.3333333432674408,0.05713653564453125,0,47.054828
3,1.4769858121871948,1.4599473476409912,0.0190455112606287,0.036032263189554214,0.0190455112606287,0.3333333432674408,0.05713653564453125,0,70.570077
4,1.4511649012565613,1.4643200635910034,0.0190455112606287,0.036032263189554214,0.0190455112606287,0.3333333432674408,0.05713653564453125,0,94.614048
5,1.4354212880134583,1.472092866897583,0.0190455112606287,0.036032263189554214,0.0190455112606287,0.3333333432674408,0.05713653564453125,0,118.317691
6,1.4323160648345947,1.4788014888763428,0.0190455112606287,0.036032263189554214,0.0190455112606287,0.3333333432674408,0.05713653564453125,0,142.400983
7,1.422461211681366,1.4845466613769531,0.0190715529024601,0.03608592599630356,0.17055368423461914,0.33318889141082764,0.05718231201171875,0,165.102604
8,1.4100029468536377,1.4874569177627563,0.019768258556723595,0.037485986948013306,0.2971717119216919,0.3325105905532837,0.05863189697265625,0,187.774457
9,1.402806043624878,1.4904742240905762,0.02876974642276764,0.05492326617240906,0.2676598131656647,0.33472394943237305,0.07785797119140625,0,210.365276
10,1.3736495971679688,1.4911432266235352,0.049239400774240494,0.09142164140939713,0.25644856691360474,0.33557263016700745,0.12294769287109375,0,232.342747
11,1.3489931225776672,1.4777004718780518,0.09660957008600235,0.16218869388103485,0.5923668742179871,0.33733418583869934,0.2357177734375,0,254.534768
12,1.3256065845489502,1.4442485570907593,0.14512668550014496,0.22461062669754028,0.5684570670127869,0.35301896929740906,0.35633087158203125,0,276.541036
13,1.3116754293441772,1.3930566310882568,0.2158321887254715,0.32340535521507263,0.5063806176185608,0.3999415934085846,0.47203826904296875,0,299.182078
1,1.4361498355865479,1.4421064853668213,0.06201934814453125,0.10458061844110489,0.06201934814453125,0.3333333432674408,0.18605804443359375,0,22.558911
2,1.4234577417373657,1.4415967464447021,0.06201934814453125,0.10458061844110489,0.06201934814453125,0.3333333432674408,0.18605804443359375,0,46.158446
3,1.4168578386306763,1.4397594928741455,0.25574228167533875,0.2956869900226593,0.3626842200756073,0.3358480930328369,0.7526779174804688,0,67.985193
